Dataset,Mixture Label,CID,CID.1,CID.2,CID.3,CID.4,CID.5,CID.6,CID.7,CID.8,CID.9,CID.10,CID.11,CID.12,CID.13,CID.14,CID.15,CID.16,CID.17,CID.18,CID.19,CID.20,CID.21,CID.22,CID.23,CID.24,CID.25,CID.26,CID.27,CID.28,CID.29,CID.30,CID.31,CID.32,CID.33,CID.34,CID.35,CID.36,CID.37,CID.38,CID.39,CID.40,CID.41,CID.42,CID.43,CID.44,CID.45,CID.46,CID.47,CID.48,CID.49,CID.50,CID.51,CID.52,CID.53,CID.54,CID.55,CID.56,CID.57
Ravia 1,12,5281168,637511.0,7685.0,12178.0,4133.0,7991.0,6054.0,7770.0,7714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,13,8797,7731.0,7966.0,3314.0,62336.0,7059.0,7991.0,61138.0,6054.0,11002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,14,240,2758.0,8130.0,8129.0,7710.0,7059.0,4133.0,8918.0,957.0,6654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,1,556940,7601.0,11086.0,61670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,2,62351,565690.0,10925.0,7593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,3,5363233,89440.0,126.0,11980.0,61293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,4,7194,520296.0,61670.0,637776.0,23642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,5,126,520296.0,7122.0,6050.0,5273467.0,5364231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,6,2214,556940.0,8180.0,8077.0,325.0,11086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,7,7601,778574.0,61331.0,8180.0,17121.0,24834.0,7593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,8,7194,89440.0,6560.0,17121.0,126.0,637776.0,9012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,9,5363233,10925.0,5365049.0,6050.0,5273467.0,31219.0,7765.0,23642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,10,62351,1550470.0,7657.0,6997.0,6560.0,5273467.0,18554.0,2214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,11,89440,7657.0,7122.0,61293.0,7593.0,5367698.0,5364231.0,14104.0,9012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,12,1550470,778574.0,11980.0,61771.0,6998.0,444972.0,14104.0,325.0,23642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,13,7657,61331.0,61771.0,61293.0,24834.0,31219.0,444972.0,5367698.0,14104.0,5364231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,14,565690,8180.0,5365049.0,6560.0,8077.0,31219.0,6998.0,7765.0,6997.0,18554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,1,7799,176.0,7363.0,14286.0,8025.0,6561.0,11552.0,12020.0,22386.0,9609.0,84682.0,8063.0,8857.0,7895.0,7284.0,11173.0,8103.0,637566.0,638011.0,10890.0,24915.0,3314.0,8842.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,2,7799,6590.0,61138.0,11552.0,62336.0,9609.0,6276.0,7895.0,7284.0,261.0,5284503.0,637566.0,31266.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,3,7799,7150.0,14286.0,264.0,11552.0,62336.0,263.0,9609.0,7895.0,261.0,8103.0,8842.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,4,7799,1068.0,3776.0,61138.0,7793.0,264.0,527.0,263.0,84682.0,10448.0,7284.0,11173.0,5318042.0,637566.0,638011.0,10890.0,24915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,5,1068,6590.0,1031.0,176.0,180.0,3776.0,7363.0,7150.0,14286.0,8025.0,6561.0,443158.0,22386.0,1032.0,6569.0,84682.0,8063.0,6276.0,8857.0,7895.0,261.0,5284503.0,5318042.0,8103.0,10890.0,24915.0,31266.0,10430.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,6,7799,6590.0,31244.0,176.0,7150.0,8025.0,7793.0,443158.0,11552.0,1032.0,8063.0,7284.0,5284503.0,5318042.0,638011.0,24915.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,8,6590,31244.0,180.0,3776.0,7363.0,14286.0,61138.0,6561.0,443158.0,11552.0,12020.0,62336.0,263.0,84682.0,8063.0,6276.0,10448.0,7895.0,11173.0,261.0,5284503.0,5318042.0,638011.0,10890.0,8842.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,9,7799,7363.0,61138.0,8025.0,443158.0,264.0,12020.0,527.0,263.0,1032.0,84682.0,10448.0,7895.0,7284.0,11173.0,8103.0,637566.0,638011.0,24915.0,31266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,10,7799,1068.0,6590.0,31244.0,7150.0,61138.0,7793.0,443158.0,22386.0,5284503.0,637566.0,10890.0,8842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,11,7799,1068.0,6590.0,31244.0,176.0,180.0,7150.0,61138.0,8025.0,6561.0,443158.0,22386.0,62336.0,527.0,9609.0,1032.0,6569.0,84682.0,6276.0,10448.0,8857.0,7895.0,11173.0,5284503.0,5318042.0,8103.0,637566.0,638011.0,637776.0,10890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,12,1068,6590.0,31244.0,1031.0,176.0,180.0,3776.0,7363.0,7150.0,7793.0,12020.0,6584.0,1032.0,6569.0,8857.0,637566.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,13,7799,1031.0,176.0,180.0,14286.0,8025.0,6561.0,7793.0,264.0,11552.0,12020.0,22386.0,263.0,6584.0,84682.0,8063.0,5284503.0,5318042.0,8103.0,3314.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,14,7799,6590.0,31244.0,1031.0,180.0,3776.0,7363.0,7150.0,14286.0,61138.0,19310.0,443158.0,264.0,12020.0,22386.0,62336.0,527.0,263.0,6584.0,1032.0,84682.0,6276.0,7895.0,7284.0,5284503.0,638011.0,637776.0,24915.0,31266.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,15,1031,7363.0,14286.0,19310.0,12020.0,263.0,1032.0,6569.0,8063.0,6276.0,7895.0,7284.0,3314.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,16,31244,7150.0,8025.0,11552.0,22386.0,6584.0,6569.0,6276.0,10448.0,7895.0,7284.0,261.0,5284503.0,638011.0,637776.0,8842.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,18,6590,31244.0,176.0,180.0,7363.0,7150.0,61138.0,8025.0,19310.0,6561.0,443158.0,11552.0,12020.0,62336.0,263.0,9609.0,1032.0,6276.0,10448.0,7895.0,7284.0,8103.0,638011.0,637776.0,24915.0,3314.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,19,7799,6590.0,31244.0,1031.0,180.0,3776.0,7363.0,61138.0,8025.0,19310.0,6561.0,443158.0,264.0,22386.0,62336.0,527.0,263.0,6584.0,6569.0,10448.0,8857.0,7284.0,11173.0,261.0,5318042.0,8103.0,638011.0,637776.0,31266.0,3314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,20,7799,1068.0,6590.0,31244.0,176.0,180.0,3776.0,7150.0,14286.0,61138.0,19310.0,6561.0,443158.0,11552.0,527.0,9609.0,1032.0,6569.0,10448.0,8857.0,7895.0,7284.0,11173.0,261.0,637566.0,637776.0,10890.0,31266.0,3314.0,8842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,21,1068,1031.0,176.0,180.0,7363.0,61138.0,19310.0,443158.0,22386.0,62336.0,9609.0,6584.0,1032.0,6569.0,84682.0,8063.0,6276.0,5284503.0,8103.0,637566.0,638011.0,31266.0,3314.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,22,31244,176.0,3776.0,6561.0,264.0,9609.0,6584.0,84682.0,6276.0,11173.0,261.0,8103.0,637566.0,637776.0,24915.0,8842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,23,6590,31244.0,3776.0,7150.0,61138.0,19310.0,7793.0,22386.0,62336.0,527.0,9609.0,6584.0,1032.0,8857.0,7895.0,5284503.0,8103.0,637566.0,8842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,24,6590,180.0,6561.0,22386.0,527.0,263.0,6569.0,10448.0,8857.0,637776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,25,7799,176.0,7363.0,19310.0,6561.0,264.0,12020.0,62336.0,84682.0,8857.0,7895.0,7284.0,5318042.0,638011.0,24915.0,31266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,26,6590,31244.0,7363.0,61138.0,19310.0,6561.0,264.0,1032.0,6569.0,84682.0,10448.0,261.0,5284503.0,5318042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,27,6590,31244.0,176.0,180.0,61138.0,8025.0,19310.0,7793.0,443158.0,12020.0,527.0,263.0,1032.0,6569.0,84682.0,8063.0,7895.0,11173.0,261.0,5284503.0,5318042.0,637566.0,638011.0,637776.0,10890.0,31266.0,3314.0,8842.0,10430.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,28,1031,176.0,7363.0,7150.0,8025.0,6561.0,7793.0,11552.0,527.0,6584.0,1032.0,10448.0,7895.0,7284.0,11173.0,5284503.0,637566.0,638011.0,10890.0,8842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,29,6590,31244.0,3776.0,7150.0,6561.0,7793.0,443158.0,264.0,12020.0,527.0,263.0,9609.0,8063.0,6276.0,8857.0,7895.0,7284.0,261.0,5318042.0,8103.0,638011.0,24915.0,31266.0,3314.0,10430.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,31,6590,31244.0,1031.0,180.0,7363.0,61138.0,264.0,22386.0,527.0,263.0,10448.0,7284.0,5318042.0,8103.0,637776.0,10890.0,31266.0,3314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,32,7799,180.0,3776.0,7363.0,61138.0,8025.0,19310.0,6561.0,7793.0,264.0,12020.0,22386.0,527.0,263.0,6584.0,8063.0,8857.0,7895.0,7284.0,5284503.0,8103.0,638011.0,10890.0,24915.0,31266.0,3314.0,8842.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,33,1068,6590.0,1031.0,3776.0,7150.0,14286.0,19310.0,12020.0,8063.0,6276.0,8857.0,7284.0,5318042.0,8103.0,637566.0,638011.0,10890.0,3314.0,8842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,34,6590,7150.0,14286.0,61138.0,7793.0,443158.0,11552.0,22386.0,263.0,9609.0,84682.0,8063.0,8857.0,31266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,35,7799,1068.0,6590.0,31244.0,176.0,180.0,7150.0,61138.0,8025.0,6561.0,443158.0,22386.0,62336.0,527.0,9609.0,1032.0,6569.0,84682.0,6276.0,10448.0,8857.0,7895.0,11173.0,5284503.0,5318042.0,8103.0,637566.0,638011.0,637776.0,10890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,36,180,7363.0,1032.0,5284503.0,8103.0,637776.0,10890.0,24915.0,3314.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
