CID,INTENSITY,PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
6054,72.857142857,51.346938776,0.26530612245,18.632653061,5.2448979592,0.020408163265,0.26530612245,6.4897959184,1.2653061224,5.3673469388,3.1632653061,5.7142857143,7.5102040816,10.632653061,5.387755102,6.306122449,4.0816326531,4.0612244898,7.9183673469,30.408163265,14.714285714
6184,61.985074627,21.367346939,0.20408163265,0.10204081633,1.3265306122,2.8163265306,0.81632653061,4.2857142857,5.1224489796,16.12244898,7.306122449,7.1224489796,6.8367346939,17.265306122,7.8163265306,10.775510204,12.469387755,6.6530612245,1.8571428571,0.16326530612,24.653061224
6276,66.657142857,25.114285714,0.028571428571,2.8857142857,1.2857142857,1.8571428571,2.2857142857,5.7142857143,6.8,18.257142857,3.9428571429,7.4,1.7714285714,22.628571429,18.342857143,14.171428571,12.714285714,4.4,2.2,0.22857142857,7.4571428571
6501,37.804347826,60.606060606,5.3939393939,28.727272727,14.151515152,2.5151515152,2.303030303,3.3636363636,4.0,5.9393939394,1.8787878788,0.27272727273,6.9393939394,6.303030303,2.9696969697,4.7878787879,1.5454545455,1.7272727273,1.6363636364,13.303030303,9.2727272727
6560,46.0,36.566666667,3.9333333333,7.2,1.8666666667,0.0,1.2666666667,5.0333333333,5.6333333333,4.6,3.8333333333,10.466666667,4.9333333333,10.6,12.4,2.8,0.9,0.56666666667,1.8,0.66666666667,19.233333333
6569,33.486486486,41.864864865,2.3783783784,7.4324324324,1.4054054054,1.3783783784,5.2162162162,8.6486486486,5.9189189189,9.7027027027,5.2972972973,7.0810810811,0.89189189189,8.5675675676,7.2162162162,3.7297297297,1.8918918919,2.8648648649,3.5135135135,3.4324324324,19.027027027
6584,27.05,25.844444444,0.0,1.3111111111,0.37777777778,0.2,5.4222222222,6.0444444444,4.0222222222,18.244444444,1.4666666667,12.4,2.8444444444,7.7777777778,9.4666666667,7.5777777778,5.7333333333,3.0888888889,0.44444444444,0.088888888889,28.244444444
6590,45.31147541,24.925,1.525,5.65,4.775,0.7,2.175,4.975,1.225,16.875,3.475,2.425,7.325,15.975,12.075,5.775,13.475,2.725,0.0,2.7,6.15
6989,70.8367,42.5625,1.0,2.8333,0.5417,0.0208,0.8542,20.4583,4.4167,5.6875,5.5417,4.8125,10.3542,5.5625,0.0208,,3.4583,4.3333,1.9792,0.6875,
6997,84.06122449,30.265306122,2.0,10.183673469,4.1224489796,0.020408163265,0.081632653061,2.7755102041,8.1020408163,4.9591836735,10.081632653,15.346938776,7.2857142857,11.12244898,0.44897959184,12.918367347,2.4489795918,3.1428571429,1.3469387755,5.7142857143,52.632653061
6998,78.382978723,29.659574468,0.021276595745,4.1063829787,3.3404255319,0.021276595745,0.87234042553,4.8510638298,10.14893617,4.5531914894,16.085106383,16.872340426,8.0425531915,2.2765957447,1.6170212766,10.893617021,1.2340425532,5.2978723404,0.021276595745,1.5319148936,35.957446809
7059,68.574468085,36.744680851,3.0638297872,7.7021276596,4.0425531915,0.0,0.72340425532,4.7446808511,4.4042553191,6.7021276596,4.1063829787,10.765957447,2.2978723404,8.3617021277,2.0212765957,11.531914894,0.85106382979,1.2978723404,2.4468085106,5.0,25.170212766
7119,72.354166667,57.916666667,2.3541666667,25.4375,5.5208333333,0.14583333333,0.16666666667,4.8125,5.1041666667,2.3125,0.33333333333,8.0,11.0625,2.5833333333,0.16666666667,13.104166667,2.3125,1.4166666667,2.9583333333,17.958333333,32.1875
7122,64.239130435,52.346938776,2.2244897959,21.612244898,7.1020408163,0.51020408163,0.020408163265,5.8163265306,11.0,4.0408163265,3.0,6.7959183673,6.4081632653,2.2040816327,1.0408163265,8.9591836735,1.2857142857,0.0,2.7959183673,11.87755102,29.285714286
7150,25.088888889,45.47826087,4.5217391304,12.782608696,7.1304347826,0.95652173913,1.0,7.2173913043,3.347826087,4.6086956522,4.652173913,6.7391304348,8.652173913,3.1304347826,2.0434782609,1.1739130435,5.1739130435,4.7826086957,1.8695652174,12.913043478,11.086956522
7165,64.933333333,58.8,1.1111111111,27.355555556,15.177777778,0.022222222222,0.93333333333,3.5555555556,10.4,5.3333333333,1.4444444444,11.444444444,5.8222222222,1.4,2.7111111111,3.7333333333,2.1111111111,2.3333333333,3.4666666667,8.7555555556,29.177777778
7194,19.588235294,54.605263158,0.0,12.263157895,0.28947368421,0.0,0.78947368421,4.1315789474,4.5526315789,3.5526315789,0.26315789474,3.8684210526,2.8947368421,4.0789473684,0.39473684211,1.8947368421,0.0,1.5,2.2105263158,25.763157895,11.052631579
7410,80.918367347,52.12244898,1.2857142857,21.346938776,9.0816326531,0.040816326531,1.4285714286,5.9795918367,7.3265306122,3.4489795918,4.5510204082,11.510204082,4.9183673469,3.9591836735,0.48979591837,9.1632653061,1.387755102,1.4489795918,1.7346938776,15.714285714,34.755102041
7463,68.177777778,37.0,0.30612244898,5.1428571429,3.1428571429,0.18367346939,3.612244898,11.897959184,10.326530612,9.1224489796,9.4489795918,21.755102041,3.8979591837,5.2244897959,2.4489795918,16.12244898,2.3265306122,6.9591836735,3.4489795918,0.89795918367,46.367346939
7519,75.895833333,29.75,0.083333333333,2.8958333333,1.0833333333,1.5416666667,1.5833333333,2.9791666667,4.5833333333,7.375,9.5625,15.1875,5.2083333333,8.2708333333,3.1666666667,14.854166667,5.0625,7.375,2.1875,2.1041666667,46.75
7583,55.808510638,50.723404255,2.7234042553,7.6808510638,2.7446808511,0.48936170213,1.8936170213,6.7021276596,7.2553191489,4.2978723404,2.1489361702,12.29787234,3.1276595745,1.6170212766,0.95744680851,6.0638297872,1.9361702128,3.8510638298,2.829787234,4.0,25.0
7593,78.625,32.020833333,2.0833333333,8.1875,0.020833333333,0.020833333333,2.3541666667,7.0833333333,3.25,9.1041666667,8.0,7.3541666667,7.1875,18.333333333,11.5,13.020833333,7.0625,2.75,0.91666666667,2.9166666667,17.166666667
7601,30.2041,55.0571,1.0286,19.9714,7.1429,0.9143,2.4286,1.2,4.9429,5.1429,2.6286,2.7143,7.4286,7.3429,3.6571,,1.8286,3.3429,4.1714,9.3143,
7632,30.449,63.6154,1.0,21.5641,1.4872,0.1795,0.4359,7.2564,2.8462,4.7179,2.8205,4.8718,7.359,4.5897,1.5897,,1.8718,6.7692,5.8974,28.2564,
7654,61.428571429,53.265306122,0.061224489796,18.530612245,4.2244897959,0.020408163265,1.7142857143,3.612244898,6.8367346939,6.5714285714,2.8979591837,4.2040816327,4.2448979592,3.4081632653,2.3673469388,3.5918367347,1.7346938776,0.36734693878,3.2857142857,25.12244898,15.020408163
7731,71.744680851,46.489361702,1.1914893617,13.127659574,3.0425531915,0.3829787234,0.36170212766,6.6170212766,7.5531914894,9.2553191489,3.1914893617,6.5531914894,3.085106383,7.5531914894,1.4468085106,4.5744680851,4.085106383,1.9787234043,3.7234042553,12.723404255,15.042553191
7749,78.958333333,39.104166667,3.5416666667,19.770833333,9.8125,0.83333333333,2.875,2.9583333333,6.5208333333,7.0,6.5,8.7708333333,4.6666666667,6.9166666667,1.4166666667,7.5208333333,9.375,1.0416666667,1.6875,4.5625,31.416666667
7762,78.428571429,60.12244898,8.0612244898,51.510204082,30.428571429,0.020408163265,0.020408163265,2.5714285714,4.8979591837,10.693877551,1.4897959184,2.3673469388,7.0204081633,1.7755102041,2.5306122449,0.67346938776,4.5306122449,0.51020408163,0.36734693878,9.306122449,10.571428571
7765,45.810810811,42.135135135,3.7567567568,7.3513513514,2.1081081081,0.91891891892,1.7567567568,3.8648648649,4.9189189189,2.8378378378,5.6486486486,7.2432432432,5.4054054054,6.7567567568,1.5945945946,3.9459459459,0.89189189189,2.1621621622,4.7837837838,3.4594594595,27.0
7799,54.717391304,67.913043478,1.7608695652,36.47826087,24.826086957,1.8043478261,2.4565217391,4.652173913,3.7391304348,2.5217391304,0.021739130435,1.0869565217,6.6956521739,1.8043478261,0.04347826087,0.04347826087,1.6086956522,1.3260869565,2.2608695652,9.9782608696,5.9782608696
7921,29.258064516,49.967741935,15.0,15.290322581,1.4516129032,0.87096774194,1.7741935484,8.6774193548,5.3225806452,3.7096774194,0.0,3.8064516129,5.7741935484,5.1290322581,3.7741935484,6.1935483871,4.8709677419,0.58064516129,1.6774193548,0.38709677419,8.1612903226
7991,42.551724138,24.815789474,0.76315789474,5.6842105263,2.5789473684,5.1842105263,3.5526315789,2.7894736842,3.3684210526,17.394736842,4.0789473684,5.6052631579,3.1578947368,22.078947368,15.763157895,5.1578947368,13.710526316,2.2105263158,0.026315789474,0.60526315789,11.421052632
8030,55.676470588,30.382352941,1.6764705882,0.32352941176,0.014705882353,6.4117647059,21.205882353,12.588235294,2.0,11.147058824,5.5147058824,3.6617647059,4.1176470588,10.205882353,5.8970588235,4.3823529412,12.794117647,2.8970588235,3.1176470588,0.073529411765,3.6470588235
8048,11.1837,59.4894,1.8085,26.6383,16.3191,0.2128,0.7021,6.1489,4.4255,8.0,1.617,4.9574,5.8936,3.4468,0.2553,,3.5957,2.0638,1.5319,11.5745,
8051,69.2653,53.7447,3.7447,24.4468,15.4043,0.0213,1.1915,4.0,4.7872,8.5106,1.6596,9.9362,8.9362,5.617,1.9362,,7.3617,1.6809,1.5106,5.617,
8063,33.925925926,42.3125,1.71875,13.59375,1.0625,3.75,6.46875,10.96875,0.4375,18.46875,2.59375,3.59375,6.1875,13.8125,9.59375,5.65625,5.75,1.28125,3.375,6.25,9.09375
8077,85.734693878,20.653061224,1.2448979592,0.020408163265,0.020408163265,14.918367347,29.265306122,14.816326531,1.9387755102,12.755102041,3.5510204082,4.8775510204,5.306122449,18.081632653,9.7755102041,8.9387755102,18.387755102,1.2653061224,0.14285714286,1.1428571429,12.040816327
8091,46.55,72.025,3.75,36.375,23.15,0.1,0.175,4.2,2.675,7.6,0.05,3.975,8.525,0.675,0.05,1.55,0.05,0.05,2.55,9.8,14.45
8103,61.9,60.15,2.45,15.675,4.2,0.2,1.35,8.05,6.15,7.8,5.45,3.325,3.1,8.175,2.7,9.4,6.725,4.525,12.425,9.925,14.9
8118,22.714285714,43.59375,0.6875,4.15625,1.1875,2.9375,3.09375,0.75,3.53125,7.125,2.03125,5.75,4.40625,9.09375,6.3125,5.65625,11.25,7.8125,3.0,8.6875,12.28125
8129,67.85106383,50.308510638,0.48936170213,17.010638298,6.4255319149,0.3829787234,1.4574468085,2.829787234,7.329787234,6.2340425532,3.1276595745,9.4468085106,4.3404255319,3.4255319149,1.5957446809,9.170212766,2.6914893617,2.0,7.8617021277,13.287234043,24.031914894
8180,53.0612,24.0833,0.0208,2.4375,0.6875,0.3125,3.7708,4.5417,1.375,14.3125,11.2292,11.4583,5.5208,21.875,10.7083,,2.5833,7.7083,0.0,1.1042,
8186,68.022727273,37.090909091,0.0,6.1818181818,4.4318181818,0.20454545455,1.4318181818,3.0909090909,8.2272727273,7.8863636364,5.7954545455,8.1590909091,5.5909090909,4.6136363636,6.7727272727,8.3863636364,5.0681818182,5.7272727273,2.4090909091,5.1136363636,27.977272727
8635,75.333333333,65.416666667,1.5208333333,37.020833333,19.875,0.020833333333,0.020833333333,3.1666666667,7.0625,5.4583333333,2.6875,1.9166666667,4.7083333333,2.3125,0.625,1.3125,0.625,0.54166666667,3.2083333333,18.1875,13.041666667
8797,71.918367347,49.0,3.4081632653,22.693877551,6.0408163265,3.1020408163,1.306122449,13.897959184,8.4081632653,4.2653061224,6.7755102041,6.0,3.8775510204,10.816326531,3.0816326531,6.7755102041,6.1632653061,2.8571428571,3.1836734694,6.612244898,8.9795918367
8857,40.970588235,43.705882353,5.0,5.4117647059,0.41176470588,2.2058823529,6.5588235294,2.9705882353,2.1764705882,5.4117647059,6.9411764706,6.0294117647,1.4117647059,10.852941176,4.5,2.7352941176,4.5588235294,2.2941176471,8.4411764706,5.5294117647,7.2941176471
8892,84.795918367,14.857142857,0.12244897959,2.0408163265,0.020408163265,2.6326530612,3.4081632653,3.4285714286,5.3265306122,23.979591837,5.4693877551,11.530612245,5.7959183673,23.693877551,19.346938776,16.714285714,19.081632653,2.5306122449,0.4693877551,0.97959183673,20.102040816
8918,34.606060606,36.591836735,0.51020408163,10.755102041,6.3469387755,0.020408163265,0.77551020408,4.1632653061,8.8775510204,12.87755102,4.1632653061,11.224489796,0.69387755102,7.9591836735,1.9183673469,11.102040816,7.6530612245,2.9183673469,4.0,5.2244897959,28.183673469
9609,49.174603175,25.186046512,0.88372093023,6.1162790698,0.16279069767,4.3488372093,9.8837209302,9.2790697674,0.6976744186,14.069767442,5.0697674419,4.8372093023,4.8139534884,8.4186046512,3.3720930233,4.488372093,10.372093023,0.79069767442,3.511627907,2.2093023256,6.1395348837
10430,72.136363636,13.604166667,0.020833333333,0.79166666667,0.1875,1.5208333333,2.8958333333,1.25,3.8333333333,32.8125,3.125,5.6458333333,8.625,33.145833333,31.145833333,8.8333333333,19.625,0.14583333333,1.5625,0.020833333333,7.125
10448,74.608695652,23.93877551,2.7755102041,0.30612244898,1.6530612245,9.5918367347,30.734693878,14.510204082,2.5510204082,18.489795918,7.7755102041,8.1632653061,11.12244898,13.551020408,7.8367346939,11.755102041,17.571428571,0.61224489796,0.63265306122,0.22448979592,10.387755102
10722,79.3469,50.0816,9.3878,31.4286,10.8571,0.2653,0.4898,10.0204,6.5714,5.4286,1.5714,6.1837,6.8367,4.0816,1.5306,,2.0408,0.6939,1.898,11.7143,
10882,76.208333333,72.125,7.0416666667,58.604166667,37.375,0.020833333333,0.020833333333,2.1666666667,4.0208333333,7.0416666667,0.5,2.2708333333,7.0416666667,1.2708333333,0.020833333333,0.041666666667,1.2916666667,0.41666666667,1.0208333333,16.708333333,5.9166666667
10890,59.933333333,56.088888889,5.1777777778,41.422222222,24.488888889,0.022222222222,2.1111111111,7.9555555556,3.8444444444,9.5111111111,0.62222222222,2.2222222222,2.6444444444,2.0444444444,3.4222222222,4.5333333333,3.5777777778,0.022222222222,1.5111111111,4.8444444444,11.8
10925,73.693181818,14.12244898,2.6734693878,0.28571428571,0.10204081633,6.4897959184,10.0,7.6530612245,0.51020408163,14.387755102,29.489795918,8.7551020408,6.0204081633,19.306122449,5.1632653061,7.8163265306,13.612244898,3.693877551,1.7551020408,0.0,19.306122449
11086,72.714285714,57.346938776,2.612244898,29.306122449,12.612244898,0.0,1.6530612245,6.0408163265,4.3265306122,2.4285714286,4.5510204082,5.7142857143,9.0204081633,7.7346938776,2.387755102,2.8571428571,2.6530612245,3.3469387755,1.3265306122,17.530612245,23.367346939
11124,28.0408,58.1892,2.8108,19.5405,1.7568,1.0541,3.3784,13.3243,3.9459,6.0,8.5676,3.7027,4.6486,8.4865,4.5405,,1.8649,5.1622,3.8108,3.3514,
11980,41.219512195,33.979166667,2.5625,11.666666667,5.9375,0.25,1.3958333333,6.0416666667,2.9791666667,10.145833333,3.875,24.479166667,10.083333333,7.375,2.8958333333,14.208333333,1.5833333333,0.60416666667,3.7708333333,3.2083333333,44.0625
12178,69.32967033,34.769230769,1.1098901099,7.2747252747,2.6043956044,1.2857142857,2.3076923077,3.9010989011,3.9230769231,6.5274725275,5.2747252747,17.0,1.1318681319,5.6263736264,1.4285714286,8.8241758242,1.7032967033,0.54945054945,0.64835164835,2.010989011,49.043956044
12180,81.630434783,30.391304348,0.97826086957,19.0,10.891304348,2.7173913043,1.7608695652,2.3913043478,1.0,24.804347826,3.2173913043,5.0434782609,6.1304347826,16.130434783,6.9565217391,2.9782608696,14.282608696,0.97826086957,0.32608695652,8.2826086957,11.869565217
12348,56.5102,59.7381,5.9524,36.7381,20.4762,1.4048,0.2857,5.881,6.2619,7.5952,5.3333,2.6905,4.3333,3.1429,1.8571,,3.5,0.0238,9.4524,14.619,
12741,43.837209302,50.395348837,3.7441860465,19.069767442,6.7441860465,0.86046511628,3.2325581395,3.7906976744,5.0465116279,1.2093023256,6.0930232558,6.511627907,3.1860465116,3.976744186,3.4418604651,5.8837209302,3.0,3.0465116279,1.2790697674,11.534883721,10.581395349
14104,45.674418605,42.790697674,1.0465116279,2.4186046512,0.0,0.0,2.7209302326,15.860465116,3.1860465116,3.6744186047,4.4186046512,11.534883721,5.9302325581,1.6279069767,1.3953488372,2.2325581395,0.81395348837,6.1627906977,1.1395348837,2.7209302326,23.069767442
14286,80.612244898,49.775510204,18.795918367,6.2448979592,0.020408163265,0.24489795918,2.387755102,11.530612245,3.4897959184,2.6734693878,8.5714285714,1.0612244898,10.775510204,5.387755102,2.4285714286,2.3469387755,2.7755102041,5.9183673469,0.73469387755,0.32653061224,4.3265306122
15380,60.62195122,24.163265306,0.22448979592,0.79591836735,0.65306122449,7.5102040816,26.367346939,8.6530612245,2.9795918367,20.367346939,5.306122449,12.469387755,5.0816326531,14.918367347,10.816326531,11.387755102,16.102040816,4.306122449,1.2244897959,0.83673469388,16.795918367
17121,55.568181818,35.863636364,1.0,6.2045454545,4.7954545455,0.38636363636,2.5681818182,3.1136363636,5.1136363636,6.7954545455,3.5227272727,7.0454545455,2.1590909091,7.3636363636,1.9318181818,4.0227272727,6.5227272727,4.3181818182,4.7954545455,3.9772727273,9.5681818182
18554,52.538461538,33.487179487,0.25641025641,5.7948717949,0.0,0.0,1.7692307692,5.5897435897,3.5641025641,7.3333333333,9.2051282051,12.153846154,4.9487179487,3.2820512821,1.9230769231,5.8461538462,3.6923076923,1.4615384615,0.17948717949,0.92307692308,36.102564103
18827,65.244897959,40.795918367,5.0408163265,7.2448979592,1.7959183673,0.77551020408,0.57142857143,7.5714285714,11.081632653,9.693877551,7.0408163265,9.3469387755,3.9183673469,11.591836735,1.5714285714,5.2040816327,5.9795918367,4.7346938776,5.6326530612,4.6734693878,15.836734694
19310,71.118918919,19.447916667,0.40625,0.33333333333,0.0,10.083333333,27.166666667,9.9166666667,1.7083333333,17.052083333,9.4895833333,6.90625,6.4166666667,12.84375,7.84375,5.3958333333,16.666666667,1.1041666667,0.79166666667,0.89583333333,11.541666667
22386,34.9388,33.8857,0.4857,3.7429,1.9429,0.1714,3.9143,7.3714,6.5429,6.1429,2.8286,7.7429,0.9143,10.1429,5.0286,,5.2286,1.1143,2.8286,0.7429,
22873,36.5,44.404255319,1.7234042553,16.468085106,7.7234042553,0.63829787234,0.91489361702,6.2553191489,2.6382978723,6.8723404255,4.8085106383,3.8510638298,3.9574468085,9.6595744681,3.7659574468,4.1063829787,5.1914893617,1.8723404255,4.8723404255,8.7021276596,15.617021277
23642,69.394366197,15.326530612,3.4693877551,1.1020408163,0.14285714286,11.530612245,7.2653061224,8.3673469388,1.612244898,14.755102041,23.571428571,9.1632653061,7.0816326531,20.918367347,5.5102040816,16.632653061,14.142857143,3.2653061224,3.1020408163,0.22448979592,19.816326531
24834,66.021276596,66.191489362,8.8510638298,40.085106383,18.85106383,0.021276595745,1.2765957447,5.7021276596,4.7021276596,4.5106382979,0.34042553191,2.8085106383,13.914893617,1.4468085106,0.59574468085,2.6382978723,0.72340425532,0.085106382979,1.6595744681,19.085106383,6.6595744681
26331,80.12244898,39.102040816,10.836734694,9.4489795918,0.97959183673,0.38775510204,1.7346938776,6.0408163265,2.3673469388,12.12244898,16.693877551,3.6734693878,9.9591836735,12.489795918,7.2857142857,1.5918367347,5.6326530612,5.2448979592,0.91836734694,1.3469387755,10.040816327
31244,72.14893617,60.191489362,4.2765957447,29.446808511,8.6595744681,0.0,0.0,3.4255319149,6.2553191489,2.8085106383,2.085106383,3.2978723404,4.4468085106,4.8936170213,3.4680851064,4.2553191489,0.1914893617,2.5531914894,7.4893617021,9.2765957447,17.29787234
31249,45.052631579,61.063829787,0.48936170213,34.70212766,20.021276596,0.021276595745,0.8085106383,8.3829787234,9.6808510638,9.0212765957,1.7872340426,4.1914893617,4.1276595745,2.6170212766,0.12765957447,3.3617021277,2.6595744681,3.1914893617,1.6808510638,10.063829787,18.319148936
31252,46.396551724,38.710526316,1.2368421053,5.1842105263,1.1578947368,0.26315789474,1.7368421053,1.5,4.5263157895,5.3421052632,0.68421052632,9.6315789474,3.3421052632,7.0,4.5,6.7368421053,5.3421052632,1.8421052632,0.94736842105,2.8421052632,26.947368421
31265,76.4375,79.1875,14.9375,58.0,39.9375,0.33333333333,0.125,8.5208333333,6.4791666667,4.0625,1.0625,3.3125,6.25,0.77083333333,0.47916666667,0.14583333333,0.125,0.45833333333,1.5625,8.8541666667,9.7291666667
31266,57.5918,71.9375,4.3958,42.5208,39.8333,0.0208,0.0208,2.0625,5.3333,4.8542,1.0,1.0,5.7708,3.2917,1.7917,,1.2292,0.0208,1.875,12.2292,
31272,76.479166667,54.416666667,0.41666666667,22.791666667,7.8125,0.020833333333,0.29166666667,1.6458333333,7.7291666667,2.6458333333,1.0416666667,13.375,2.2708333333,2.1041666667,0.64583333333,7.7916666667,0.41666666667,0.29166666667,0.72916666667,8.7708333333,37.0625
61138,82.959183673,14.142857143,0.020408163265,1.4489795918,0.020408163265,2.693877551,4.0,3.4081632653,0.14285714286,33.836734694,3.2040816327,7.1224489796,7.7755102041,28.632653061,24.285714286,10.653061224,27.06122449,0.97959183673,1.6530612245,0.24489795918,10.571428571
61199,50.121621622,59.815384615,16.215384615,28.2,5.4615384615,0.53846153846,2.6307692308,6.2769230769,5.0461538462,3.2307692308,5.9384615385,2.5692307692,7.1538461538,4.7692307692,1.9538461538,2.9384615385,0.092307692308,3.3538461538,4.0153846154,5.3384615385,8.8615384615
