CID,nCIR,ZM1,GNar,S1K,piPC08,MATS1v,MATS7v,GATS1v,Eig05_AEA_bo_,SM02_AEA_bo_,SM03_AEA_dm_,SM10_AEA_dm_,SM13_AEA_dm_,SpMin3_Bh_v_,RDF035v,G1m,G1v,G1e,G3s,R8u_,nRCOSR
6501,2,78.0,1.977,10.34,4.837,-0.019,-0.091,1.055,2.5,4.297,-0.714,15.17,2.99,1.597,4.269,0.19,0.171,0.19,0.171,0.03,0
6544,1,50.0,1.762,7.522,0.0,0.0,0.0,1.227,0.825,3.85,-1.614,11.191,-0.714,1.415,5.313,0.192,0.179,0.204,0.192,0.0,0
6560,0,16.0,1.431,4.961,0.0,-0.131,0.0,1.611,0.0,2.565,0.0,4.842,-3.226,1.308,1.377,0.204,0.204,0.204,0.204,0.0,0
6561,0,16.0,1.431,4.675,0.0,-0.165,0.0,1.488,0.0,2.773,0.0,4.842,-3.226,1.181,1.965,0.213,0.213,0.213,0.242,0.0,0
6569,0,16.0,1.431,4.675,0.0,-0.165,0.0,1.488,0.0,2.773,0.0,4.842,-3.226,0.916,0.505,0.213,0.213,0.213,0.502,0.0,0
6584,0,16.0,1.431,4.636,0.0,-0.303999999999999,0.0,1.516,0.0,2.773,0.0,4.842,-3.226,0.69,0.06,0.296,0.224,0.224,1.0,0.0,0
6590,0,22.0,1.442,5.636,0.0,-0.095,0.0,1.37,-0.517,3.045,0.0,6.745,-2.0,1.208,1.15,0.208,0.208,0.208,0.235,0.0,0
6654,3,58.0,1.966,6.45,1.609,0.059,0.0,1.204,1.0,3.932,-1.594,14.133,3.061,1.455,5.536,0.175,0.219,0.175,0.198,0.0,0
6736,3,52.0,2.107,5.688,5.812,0.052,1.087,0.861,2.065,3.998,-1.717,10.011,2.694,1.392,2.483,0.191,0.224,0.224,1.0,0.0,0
6982,1,58.0,1.774,9.555,2.784,0.03,-0.633,0.982,1.546,3.998,-1.382,9.726,3.281,1.396,3.664,0.201,0.177,0.177,0.275,0.031,0
6989,1,52.0,1.801,8.28,2.784,0.028,-0.679,1.106,1.173,3.902,-1.499,9.468,2.695,1.398,3.689,0.177,0.201,0.177,0.223,0.032,0
6997,1,40.0,1.876,6.304,2.151,0.039,0.873,1.009,0.933,3.676,-2.0,8.475,0.817,1.133,2.166,0.191,0.208,0.191,0.191,0.0,0
6998,1,40.0,1.876,5.984,2.784,0.066,0.0,0.817,1.092,3.75,-2.0,8.475,0.817,1.131,1.31,0.204,0.204,0.204,1.0,0.0,0
7059,3,56.0,2.097,6.353,6.059,0.013,0.075,0.876,2.182,4.073,-1.224,9.178,2.985,1.349,1.581,0.25,0.219,0.219,0.69,0.046,0
7119,3,60.0,2.089,7.319,6.161,0.007,-0.21,0.896,2.205,4.123,-1.08,9.22,3.006,1.462,1.858,0.183,0.183,0.183,1.0,0.047,0
7122,3,66.0,2.037,7.997,6.337,0.036,-0.214,0.852,2.716,4.245,-1.0,9.351,3.215,1.486,2.093,0.181,0.181,0.207,1.0,0.044,0
7128,1,58.0,1.872,9.967,4.386,-0.068,0.164,1.131,1.892,4.034,-0.909,9.124,1.973,1.539,1.455,0.174,0.174,0.195,0.185,0.025,0
7150,1,44.0,1.888,6.97,2.784,-0.047,0.258,0.992,1.471,3.818,-1.796,8.488,2.136,1.193,1.37,0.193,0.193,0.193,1.0,0.039,0
7165,1,48.0,1.898,7.959,3.27,-0.042,-0.023,1.043,2.062,3.882,-1.517,8.534,2.136,1.282,1.439,0.185,0.185,0.185,1.0,0.046,0
7194,2,80.0,2.063,11.56,4.66,0.006,0.13,0.933,2.624,4.394,-0.141,8.538,3.216,1.652,3.486,0.168,0.203,0.168,0.168,0.025,0
7284,0,20.0,1.513,5.675,0.0,-0.132,0.0,1.49,-0.543,2.944,0.0,5.653,-2.653,1.209,2.427,0.2,0.2,0.2,0.2,0.0,0
7344,0,30.0,1.565,7.597,0.0,-0.143,0.736,1.413,0.0,3.296,0.0,7.405,-0.894,1.17,1.363,0.193,0.193,0.193,0.193,0.0,0
7363,1,30.0,1.919,4.939,0.0,-0.095,0.0,0.964,0.059,3.409,0.0,6.858,0.372,1.043,2.006,0.213,0.213,0.213,0.269,0.0,0
7410,1,40.0,1.876,6.023,0.0,0.0,1.088,0.956,0.755,3.75,-2.0,8.139,2.136,1.107,1.409,0.275,0.236,0.197,1.0,0.0,0
7460,1,46.0,1.835,7.586,0.0,0.0,-0.675,1.25,0.97,3.761,-1.77,8.192,2.275,1.438,2.784,0.175,0.175,0.198,0.242,0.029,0
7463,1,46.0,1.835,7.329,0.0,0.0,-0.657,1.15,1.053,3.795,-1.77,8.192,2.275,1.399,3.809,0.179,0.179,0.179,0.712,0.032,0
7519,1,34.0,1.929,5.321,0.0,-0.054,0.965,1.037,0.613,3.541,0.0,6.822,0.604,1.107,1.216,0.222,0.2,0.2,1.0,0.0,0
7583,2,62.0,2.129,8.022,5.433,0.005,-0.111,0.865,2.5,4.159,-1.0,7.693,2.85,1.151,4.115,0.785,0.785,0.785,1.0,0.047,0
7593,2,76.0,2.066,10.629,5.154,0.031,-0.013,0.913,2.809,4.357,-0.33,7.657,3.098,1.64,5.012,0.678,0.678,0.58,0.169,0.021,0
7600,1,66.0,1.888,11.929,4.303,-0.029,-0.284,1.174,2.5,4.135,-1.0,7.392,3.042,1.625,4.858,0.165,0.165,0.165,0.165,0.021,0
7601,2,84.0,2.059,12.533,4.844,0.006,-0.117,0.966,2.859,4.431,0.0,7.394,3.235,1.687,4.491,0.18,0.18,0.18,0.18,0.024,0
7632,1,56.0,1.843,9.271,3.841,0.024,-0.131,1.141,1.762,3.961,-1.0,9.962,2.136,1.476,2.906,0.172,0.172,0.172,0.212,0.028,0
7654,1,52.0,1.906,8.949,3.841,-0.037,-0.273,1.085,2.194,3.942,-1.0,6.968,2.136,1.553,1.855,0.179,0.204,0.204,0.179,0.038,0
7655,1,62.0,1.88,10.935,4.018,-0.031,0.219,1.149,2.465,4.086,-1.0,7.421,2.889,1.63,2.795,0.188,0.197,0.188,0.188,0.029,0
7657,2,70.0,2.111,9.939,4.722,0.007,-0.001,0.952,2.5,4.248,-0.618,7.039,3.077,1.535,2.384,1.0,1.0,1.0,0.171,0.023,0
7685,1,60.0,1.831,9.941,4.386,-0.034,-0.126,1.119,2.317,4.069,-1.0,7.918,2.401,1.462,2.493,0.174,0.174,0.174,0.174,0.029,0
7710,1,48.0,1.898,8.73,2.197,-0.041,-0.082,1.347,1.618,3.714,-1.618,7.568,1.758,1.638,2.566,0.174,0.174,0.195,0.195,0.03,0
7714,1,56.0,1.913,10.716,2.565,-0.034,0.007,1.373,1.787,3.85,-1.0,7.568,2.338,1.704,2.619,0.165,0.165,0.165,0.231,0.022,0
7731,1,40.0,1.876,6.304,0.0,-0.047,-1.0,1.091,0.939,3.676,-2.0,7.051,0.868,1.387,1.113,0.191,0.191,0.191,0.684,0.053,0
7749,0,24.0,1.575,6.636,0.0,-0.198,0.657,1.505,-0.179,3.091,0.0,5.858,-0.884,1.167,0.383,0.197,0.197,0.197,1.0,0.0,0
7762,0,28.0,1.622,7.636,0.0,-0.167,0.049,1.503,0.555,3.219,0.0,6.039,-0.632,1.387,0.391,0.188,0.188,0.188,0.516,0.036,0
7765,0,28.0,1.622,7.922,0.0,-0.232,-0.008,1.667,0.32,3.091,0.0,6.039,-0.632,1.589,0.298,0.183,0.183,0.183,0.302,0.042,0
7770,0,32.0,1.661,8.636,0.0,-0.144,0.029,1.502,0.664,3.332,0.0,6.062,0.247,1.436,0.592,0.181,0.181,0.181,0.538,0.03,0
7793,0,42.0,1.673,10.701,1.609,-0.046,-0.413,1.448,0.908,3.584,-1.634,6.081,1.413,1.572,4.007,0.168,0.203,0.168,0.186,0.03,0
7799,0,44.0,1.74,11.636,1.792,-0.102,0.006,1.501,1.563,3.611,-1.483,6.066,1.617,1.729,0.387,0.167,0.167,0.167,0.516,0.019,0
7848,0,10.0,1.414,4.351,0.0,-0.18,0.0,1.409,0.0,2.079,0.0,2.0,0.0,0.685,0.234,0.251,0.251,0.218,0.251,0.0,0
7888,0,50.0,1.642,11.636,1.946,-0.043,-0.422,1.444,0.95,3.761,-1.274,9.951,1.496,1.565,4.77,0.167,0.167,0.167,0.167,0.028,0
7895,0,20.0,1.513,5.675,0.0,-0.132,0.0,1.49,-0.646,2.944,0.0,5.118,-2.0,1.185,0.5,0.2,0.2,0.2,0.31,0.0,0
7921,1,32.0,1.842,4.787,0.0,-0.072,0.0,1.245,0.119,3.367,0.0,7.093,-1.328,1.14,1.851,0.204,0.204,0.204,0.204,0.0,0
7966,1,30.0,1.919,5.105,0.0,0.033,0.0,1.34,0.0,3.178,0.0,6.124,-0.838,1.426,2.923,0.224,0.191,0.191,0.396,0.0,0
7991,0,24.0,1.575,6.636,0.0,-0.08,0.657,1.394,0.0,3.091,0.0,5.17,-1.781,1.147,0.398,0.197,0.197,0.197,0.348,0.0,0
8025,0,14.0,1.516,4.636,0.0,-0.303999999999999,0.0,1.516,0.0,2.639,0.0,2.732,-2.732,0.84,0.141,0.224,0.224,0.224,1.0,0.0,0
8030,1,20.0,2.0,3.038,0.0,0.042,0.0,0.732,-0.118,3.102,0.0,4.0,-3.226,0.32,0.852,0.24,1.0,1.0,1.0,0.0,0
8042,0,74.0,1.804,18.636,2.565,-0.061,0.002,1.5,2.498,4.094,-0.133,6.547,3.461,1.867,2.405,0.149,0.158,0.158,0.212,0.018,0
8048,0,52.0,1.775,13.636,2.079,-0.085,0.004,1.5,2.0,3.761,-0.833,6.066,2.063,1.765,0.396,0.16,0.16,0.16,0.296,0.016,0
8051,0,28.0,1.622,7.675,0.0,-0.094,-0.283,1.492,0.382,3.219,0.0,5.181,-0.576,1.474,0.506,0.211,0.183,0.183,0.366,0.03,0
8063,0,18.0,1.587,5.675,0.0,-0.132,0.0,1.49,-0.675,2.833,0.0,3.162,-1.414,1.128,0.498,0.2,0.2,0.2,0.367,0.0,0
8077,0,18.0,1.587,6.701,0.0,0.003,0.589,1.126,-0.675,2.639,0.0,3.162,-1.414,0.944,0.254,0.2,0.2,0.2,0.2,0.0,0
8091,0,40.0,1.718,10.636,1.609,-0.113,0.008,1.501,1.445,3.526,-1.618,5.892,0.993,1.606,0.293,0.171,0.171,0.171,0.414,0.02,0
8103,0,22.0,1.641,6.961,0.0,-0.085,0.121,1.575,-0.247,2.833,0.0,3.414,-0.586,1.358,0.242,0.185,0.185,0.185,0.294,0.029,0
8118,0,22.0,1.641,7.351,0.0,-0.054,0.017,1.394,-0.247,2.833,0.0,3.414,-0.586,1.315,0.463,1.0,1.0,1.0,1.0,0.029,0
8129,0,26.0,1.682,7.961,0.0,-0.072,-0.018,1.565,0.235,2.996,0.0,3.57,0.0,1.478,0.244,0.179,0.179,0.179,0.254,0.027,0
8130,0,26.0,1.682,7.675,0.0,-0.094,0.013,1.492,0.382,3.135,0.0,3.57,0.0,1.437,0.505,0.183,0.183,0.183,0.238,0.03,0
8148,0,30.0,1.714,8.961,0.693,-0.108,-0.016,1.619,0.653,3.135,0.0,3.672,0.491,1.606,0.488,1.0,1.0,1.0,0.233,0.022,0
8174,0,38.0,1.763,10.961,1.386,-0.05,-0.005,1.546,1.285,3.367,-1.683,3.792,1.341,1.7,0.37,0.165,0.165,0.165,0.205,0.017,0
8180,0,48.0,1.758,12.636,1.946,-0.04,0.004,1.449,1.691,3.689,-1.0,5.184,2.168,1.726,0.388,0.163,0.179,0.163,0.208,0.016,0
8186,0,42.0,1.782,11.675,1.792,-0.06,0.003,1.495,1.67,3.555,-1.414,3.828,1.696,1.73,0.503,0.164,0.164,0.164,0.397,0.016,0
8635,1,50.0,1.849,7.92,3.663,0.03,0.563,0.934,1.479,3.922,-1.414,9.596,2.6,1.323,1.777,0.219,0.188,0.188,0.25,0.032,0
8797,1,50.0,1.849,7.959,3.841,-0.042,0.079,1.043,1.405,3.922,-1.347,7.367,2.275,1.438,1.618,0.185,0.185,0.185,0.185,0.043,0
8842,0,42.0,1.673,10.701,1.609,-0.046,-0.413,1.448,0.908,3.584,-1.634,6.081,1.413,1.572,4.012,0.168,0.203,0.168,0.186,0.03,0
8857,0,20.0,1.513,5.636,0.0,-0.244,0.0,1.509,-0.646,2.944,0.0,5.118,-2.0,0.956,0.162,0.259,0.208,0.208,1.0,0.0,0
8858,0,26.0,1.511,6.416,0.0,-0.104,0.0,1.334,0.0,3.296,0.0,6.0,-2.0,1.308,0.877,0.197,0.197,0.197,0.236,0.0,0
8892,0,28.0,1.622,7.636,0.0,-0.068,-0.276,1.41,0.382,3.219,0.0,5.181,-0.576,1.308,0.398,0.188,0.188,0.188,0.474,0.024,0
8918,0,48.0,1.758,12.636,1.946,-0.093,0.004,1.501,1.691,3.689,-1.0,5.184,2.168,1.711,0.343,0.163,0.163,0.163,0.25,0.018,0
9012,2,74.0,2.104,11.623,4.523,0.059,-0.03,0.82,2.5,4.29,-0.342,6.989,3.13,1.441,6.438,0.445,0.445,0.445,0.293,0.023,0
9017,0,56.0,1.703,13.377,2.303,-0.084,-0.437,1.422,1.906,3.912,-1.0,6.12,2.515,1.704,4.102,0.177,0.162,0.177,0.22,0.027,0
9609,0,14.0,1.516,5.351,0.0,-0.074,0.0,1.357,0.0,2.398,0.0,2.732,-2.732,0.95,0.006,1.0,1.0,1.0,1.0,0.0,0
10430,0,26.0,1.511,6.636,0.0,-0.08,0.0,1.394,0.0,3.178,0.0,6.0,-2.0,1.308,3.228,0.197,0.197,0.197,0.197,0.0,0
10448,0,18.0,1.587,6.312,0.0,-0.028,0.567,1.271,-0.675,2.639,0.0,3.162,-1.414,1.187,0.141,0.2,0.2,0.2,0.751,0.0,0
10560,0,16.0,1.431,5.351,0.0,-0.147,0.0,1.425,0.0,2.565,0.0,4.842,-3.226,0.954,0.837,0.204,0.204,0.204,0.25,0.0,0
10722,1,40.0,1.876,6.023,2.784,0.0,0.0,0.956,1.092,3.75,-2.0,8.475,0.817,1.355,1.438,0.197,0.197,0.197,1.0,0.0,0
10821,1,34.0,1.929,4.927,0.0,0.0,1.263,0.813,0.804,3.75,0.0,6.822,0.604,1.107,3.149,0.208,0.208,0.208,1.0,0.0,0
10882,0,32.0,1.661,8.636,0.0,-0.144,-0.138,1.502,0.664,3.332,0.0,6.062,0.247,1.536,0.392,0.181,0.181,0.181,0.4,0.03,0
10890,0,40.0,1.718,10.636,1.099,-0.113,-0.088,1.501,1.213,3.526,-1.658,6.066,1.38,1.628,0.594,0.19,0.228,0.228,0.316,0.021,0
10925,0,20.0,1.513,6.351,0.0,-0.124,0.0,1.436,-0.675,2.773,0.0,5.118,-2.0,1.308,2.161,0.193,0.266,0.193,0.266,0.0,0
10976,0,28.0,1.622,7.961,0.0,-0.072,-0.159,1.565,0.0,3.091,0.0,5.181,-0.576,1.481,0.631,0.216,0.179,0.179,0.179,0.035,0
11002,0,30.0,1.714,9.351,0.693,-0.043,0.007,1.416,0.653,3.135,0.0,3.672,0.491,1.521,0.487,1.0,1.0,1.0,1.0,0.022,0
11086,1,46.0,1.835,6.97,3.169,0.075,1.058,0.901,1.093,3.861,-1.744,9.387,2.304,1.32,1.621,0.191,0.258,0.191,0.224,0.0,0
11124,0,20.0,1.513,5.636,0.0,-0.244,0.0,1.509,-0.618,2.944,0.0,5.653,-2.653,1.083,0.289,0.208,0.208,0.208,1.0,0.0,0
11173,0,20.0,1.513,5.701,0.0,-0.089,0.0,1.398,-0.377,2.944,0.0,5.118,-2.0,1.308,1.791,0.242,0.2,0.222,0.2,0.0,0
11509,0,24.0,1.575,6.675,0.0,-0.11,0.565,1.491,-0.179,3.091,0.0,5.858,-0.884,1.319,0.485,0.191,0.191,0.191,0.276,0.0,0
11552,0,20.0,1.513,5.675,0.0,-0.132,0.0,1.49,-0.596,2.944,0.0,5.118,-2.0,1.308,3.081,0.2,0.242,0.2,0.2,0.0,0
11980,1,44.0,1.888,7.188,2.409,-0.104,-0.099,1.091,2.023,3.79,-1.618,8.546,1.372,1.54,1.521,0.193,0.193,0.193,1.0,0.044,0
12020,0,20.0,1.513,5.701,0.0,-0.089,0.0,1.398,-0.543,2.944,0.0,5.653,-2.653,1.116,1.788,0.2,0.2,0.2,0.2,0.0,0
12178,0,24.0,1.575,6.961,0.0,-0.085,0.485,1.575,-0.374,2.944,0.0,5.858,-0.884,1.358,1.204,0.185,0.185,0.185,0.201,0.0,0
12180,0,24.0,1.575,6.636,0.0,-0.198,0.657,1.505,-0.179,3.091,0.0,5.858,-0.884,1.319,0.296,0.197,0.197,0.197,0.491,0.0,0
12232,0,10.0,1.414,4.701,0.0,0.015,0.0,0.984,0.0,2.079,0.0,2.0,0.0,0.0,0.184,1.0,1.0,1.0,1.0,0.0,0
12265,1,32.0,1.842,4.597,0.0,-0.015,0.0,1.107,0.26,3.474,0.0,7.093,-1.328,1.233,0.448,1.0,1.0,1.0,1.0,0.0,0
12348,0,32.0,1.661,8.636,0.0,-0.144,-0.18,1.502,0.519,3.332,0.0,5.183,0.209,1.559,0.368,0.181,0.181,0.181,0.428,0.031,0
12367,0,36.0,1.692,9.961,1.099,-0.056,-0.007,1.551,0.725,3.332,-1.897,5.184,0.84,1.645,0.706,0.169,0.169,0.169,0.206,0.02,0
12741,0,40.0,1.718,10.675,1.609,-0.066,0.003,1.494,1.168,3.526,-1.646,5.184,1.374,1.683,0.505,0.168,0.168,0.168,0.51,0.019,0
13187,0,36.0,1.692,9.675,1.386,-0.074,0.005,1.494,0.821,3.434,-1.897,5.184,0.84,1.628,0.506,0.172,0.172,0.172,0.364,0.022,0
14104,1,56.0,1.817,9.271,3.169,-0.035,0.262,1.198,1.614,3.961,-1.189,9.786,2.708,1.555,4.58,0.193,0.193,0.193,0.183,0.028,0
14286,1,40.0,1.876,5.959,0.0,-0.045,1.213,0.976,0.755,3.75,-2.0,8.139,2.136,1.06,1.519,0.2,0.2,0.2,1.0,0.0,0
15380,0,14.0,1.516,5.701,0.0,-0.011,0.0,1.083,0.0,2.398,0.0,2.732,-2.732,1.145,0.002,1.0,1.0,1.0,1.0,0.0,0
16666,1,52.0,1.801,9.052,1.099,0.02,-0.361,1.401,0.902,3.738,-1.499,9.468,2.695,1.492,4.403,0.186,0.168,0.168,0.186,0.023,0
17100,1,54.0,1.782,8.795,0.0,0.022,-0.918,1.303,0.792,3.85,-1.254,11.657,2.275,1.471,3.372,0.171,0.19,0.19,0.199,0.026,0
17121,0,46.0,1.698,11.377,1.386,-0.1,0.031,1.408,1.633,3.738,-1.4,7.118,1.253,1.642,2.539,0.179,0.188,0.188,0.179,0.026,0
18458,0,30.0,1.565,7.377,0.0,-0.056,0.753,1.256,0.421,3.401,0.0,7.405,-0.894,1.231,1.436,0.23,0.193,0.193,0.193,0.0,0
18554,1,30.0,1.919,4.597,0.0,-0.063,0.0,1.119,0.059,3.409,0.0,6.858,0.372,1.319,1.056,0.204,0.204,0.25,0.25,0.0,0
18827,0,32.0,1.661,8.701,0.0,-0.057,-0.111,1.435,0.605,3.332,0.0,5.891,0.313,1.524,1.735,0.201,0.177,0.177,0.201,0.029,0
19310,0,14.0,1.516,6.052,0.0,0.079,0.0,0.828,0.0,2.398,0.0,2.732,-2.732,0.161,0.346,1.0,1.0,1.0,0.224,0.0,0
20859,0,24.0,1.575,6.922,0.0,-0.277,0.0,1.696,-0.618,2.944,0.0,6.464,-0.464,1.503,0.549,0.191,0.191,0.191,0.208,0.0,0
22201,1,36.0,1.861,5.232,0.0,-0.101,0.0,1.119,0.673,3.597,0.0,7.95,0.0,1.441,0.549,0.2,0.2,0.2,1.0,0.0,0
22386,0,20.0,1.513,5.961,0.0,-0.103,0.0,1.59,-0.675,2.773,0.0,5.118,-2.0,1.191,0.639,0.193,0.193,0.23,0.212,0.0,0
22873,0,52.0,1.775,13.636,2.079,-0.085,-0.017,1.5,1.769,3.761,-1.0,6.092,2.293,1.739,0.59,0.174,0.174,0.174,0.222,0.015,0
